"population","ID","block","color","number","size","env","group","old.H8","old.H9","H8","H9"
481,481.1,3,"pink",1,20,"fluctuating","low",0.884,0.869,0.885575142011762,0.870602420178156
482,482.1,3,"pink",1,20,"fluctuating",NA,NA,NA,0.772215497743256,0.754884994963397
483,483.1,3,"pink",1,20,"fluctuating",NA,NA,NA,0.870856939862248,0.855691561807881
484,484.2,3,"pink",1,20,"fluctuating",NA,NA,NA,0.882084661248781,0.872241327827572
484,484.1,3,"pink",1,20,"fluctuating","low",0.881,0.871,0.882084661248781,0.872241327827572
485,485.1,3,"pink",1,20,"fluctuating","high",0.781,0.771,0.78553517078062,0.776185997256886
485,485.2,3,"pink",1,20,"fluctuating","high",0.781,0.771,0.78553517078062,0.776185997256886
487,487.1,3,"pink",1,20,"fluctuating","high",0.853,0.829,0.854757974235647,0.831515111496656
489,489.1,3,"pink",1,20,"fluctuating","low",0.883,0.872,0.884683414250434,0.873219066223482
490,490.1,3,"pink",1,20,"fluctuating",NA,NA,NA,0.832558348707242,0.8100787402829
492,492.1,3,"pink",1,20,"fluctuating","high",0.826,0.804,0.830267997267637,0.808632119860178
493,493.1,3,"pink",1,20,"fluctuating","high",0.85,0.835,0.85186566054541,0.837822309307204
495,495.1,3,"pink",1,20,"fluctuating",NA,NA,NA,0.848875306072917,0.830623170457407
501,501.1,3,"pink",1,20,"fluctuating","low",0.897,0.883,0.898090457312663,0.883819380136138
501,501.2,3,"pink",1,20,"fluctuating","low",0.897,0.883,0.898090457312663,0.883819380136138
502,502.1,3,"pink",1,20,"fluctuating","low",0.865,0.841,0.866569835713336,0.843106842860581
503,503.1,3,"pink",1,20,"fluctuating",NA,NA,NA,0.623735429693763,0.606981447521957
504,504.1,3,"pink",1,20,"fluctuating",NA,NA,NA,0.809154603561941,0.792681768515735
507,507.1,3,"pink",1,20,"fluctuating",NA,NA,NA,0.845440670568111,0.805146137383335
508,508.1,3,"pink",1,20,"fluctuating","high",0.846,0.83,0.848418495310243,0.83236758526965
512,512.1,3,"pink",1,20,"stable","low",0.823,0.811,0.826490513601122,0.814894769412011
513,513.1,3,"pink",1,20,"stable","high",0.739,0.73,0.747284612396298,0.73808862313346
