ID,Generation,N0,Census,Person
3001,10,20,,
3002,10,20,,
3003,10,20,57,MFO
3004,10,20,61,MFO
3005,10,20,,
3006,10,20,35,MFO
3007,10,20,,
3008,10,20,,
3009,10,20,,
3010,10,20,39,MFO
3011,10,20,23,MFO
3012,10,20,,
3013,10,20,,
3014,10,20,,
3015,10,20,33,MFO
3016,10,20,,
3017,10,20,,
3018,10,20,,
3019,10,20,,
3020,10,20,,
3021,10,20,,
3022,10,20,38,MFO
3023,10,20,,
3024,10,20,,
3025,10,20,,
3026,10,20,60,MFO
3027,10,20,39,MFO
3028,10,20,10,MFO
3029,10,20,,
3030,10,20,,
481.1,10,29,29,MJK
482.1,10,22,12,MJK
483.1,10,28,11,MJK
484.1,10,22,11,MJK
484.2,10,22,6,MJK
485.1,10,21,22,MJK
485.2,10,20,18,MJK
487.1,10,18,16,MJK
489.1,10,38,30,MJK
490.1,10,18,3,MJK
492.1,10,19,26,MFO
493.1,10,30,19,MFO
495.1,10,23,11,MFO
501.1,10,31,36,MFO
502.1,10,18,17,MFO
503.1,10,18,12,MFO
504.1,10,24,15,MFO
507.1,10,10,14,MFO
508.1,10,26,29,MFO
3101,10,20,6,MJK
3102,10,20,8,MJK
3103,10,20,4,MJK
3104,10,20,11,MJK
3105,10,20,13,MJK
3106,10,20,18,MJK
3107,10,20,13,MJK
3108,10,20,14,MJK
512.1,10,35,17,MFO
513.1,10,20,28,MFO
513.2,10,20,26,MFO
514.1,10,14,11,MFO
515.1,10,25,27,MFO
516.1,10,14,19,MFO
518.1,10,14,9,MFO
519.1,10,23,15,MFO
520.1,10,16,14,MFO
522.1,10,31,20,MFO
525.1,10,30,16,MFO
526.1,10,33,13,MFO
527.1,10,13,14,MFO
528.1,10,34,20,MFO
530.1,10,22,29,MFO
531.1,10,25,11,MFO
531.2,10,25,21,MFO
532.1,10,21,20,MFO
532.2,10,20,28,MFO
536.1,10,31,38,MFO
538.1,10,2,0,MFO
540.1,10,20,12,MFO
3201,10,20,25,MFO
3202,10,20,8,MFO
3203,10,20,29,MFO
3204,10,20,14,MFO
3205,10,11,3,MFO
542.1,10,26,7,MJK
543.1,10,23,15,MJK
545.1,10,17,23,MJK
546.1,10,21,23,MJK
549.1,10,26,13,MJK
550.1,10,3,0,MJK
552.1,10,22,20,MJK
552.2,10,22,20,MJK
554.1,10,2,0,MJK
556.1,10,2,0,MJK
557.1,10,18,10,MJK
558.1,10,27,7,MJK
560.1,10,23,24,MJK
561.1,10,18,6,MJK
563.1,10,11,16,MJK
564.1,10,6,10,MJK
568.1,10,8,10,MJK
569.1,10,19,7,MJK
570.1,10,13,14,MJK
3301,10,20,21,MJK
3302,10,20,9,MJK
3303,10,20,21,MJK
3304,10,20,20,MJK
3305,10,20,35,MJK
3306,10,26,22,MJK
571.1,10,23,14,MFO
571.2,10,22,18,MFO
575.1,10,36,39,MFO
577.1,10,19,18,MFO
579.1,10,17,10,MFO
580.1,10,21,5,MFO
583.1,10,22,11,MFO
586.1,10,9,3,MFO
590.1,10,19,11,MFO
591.1,10,5,10,MFO
593.1,10,11,12,MFO
595.1,10,32,21,MFO
596.1,10,30,7,MFO
598.1,10,10,1,MFO
599.1,10,24,23,MFO
600.1,10,29,15,MFO
600.2,10,29,19,MFO
3401,10,20,25,MFO
3402,10,20,21,MFO
3403,10,20,16,MFO
3404,10,22,27,MFO
602.1,10,21,21,MFO
602.2,10,20,25,MFO
605.1,10,18,14,MFO
606.1,10,25,40,MFO
607.1,10,12,16,MFO
610.1,10,6,9,MFO
611.1,10,24,20,MFO
613.1,10,8,13,MFO
614.1,10,17,31,MFO
616.1,10,31,13,MFO
617.1,10,22,40,MFO
619.1,10,14,9,MFO
621.1,10,31,26,MFO
622.1,10,23,17,MFO
622.2,10,23,23,MFO
623.1,10,14,6,MFO
624.1,10,37,29,MFO
625.1,10,28,19,MFO
626.1,10,26,39,MFO
627.1,10,18,16,MFO
628.1,10,27,17,MFO
630.1,10,14,10,MFO
3501,10,20,32,MFO
3502,10,20,9,MFO
3503,10,20,31,MFO
3504,10,20,13,MFO
3505,10,20,17,MFO
3506,10,20,35,MFO
3507,10,20,18,MFO
3508,10,20,16,MFO
3509,10,20,15,MFO
3510,10,20,18,MFO
3511,10,27,19,MFO
631.1,10,11,25,MFO
633.1,10,23,22,MFO
635.1,10,10,3,MFO
636.1,10,25,24,MFO
637.1,10,8,17,MFO
639.1,10,27,30,MFO
645.1,10,13,8,MFO
648.1,10,30,13,MFO
649.1,10,32,9,MFO
651.1,10,13,10,MFO
652.1,10,13,6,MFO
653.1,10,24,26,MFO
654.1,10,9,24,MFO
655.1,10,35,21,MFO
656.1,10,16,3,MFO
657.1,10,24,18,MFO
658.1,10,22,17,MFO
659.1,10,26,19,MFO
3601,10,20,30,MFO
3602,10,20,19,MFO
3603,10,20,13,MFO
3604,10,20,19,MFO
3605,10,20,11,MFO
3606,10,20,19,MFO
3607,10,20,11,MFO
3608,10,18,29,MFO
663.1,10,29,13,MFO
664.1,10,35,26,MFO
665.1,10,13,7,MFO
667.1,10,21,12,MFO
667.2,10,21,10,MFO
668.1,10,29,9,MFO
668.2,10,29,20,MFO
670.1,10,18,21,MFO
670.2,10,23,28,MFO
672.1,10,15,5,MFO
673.1,10,29,18,MFO
675.1,10,25,6,MFO
675.2,10,23,,MFO
676.1,10,37,14,MFO
677.1,10,39,15,MFO
678.1,10,33,38,MFO
679.1,10,2,0,MFO
680.1,10,30,13,MFO
681.1,10,23,19,MFO
683.1,10,6,7,MFO
684.1,10,9,0,MFO
686.1,10,18,8,MFO
687.1,10,9,7,MFO
689.1,10,8,12,MFO
3701,10,20,28,MFO
3702,10,20,11,MFO
3703,10,20,22,MFO
3704,10,20,23,MFO
3705,10,20,22,MFO
3706,10,20,25,MFO
3707,10,20,20,MFO
3708,10,20,22,MFO
3709,10,20,26,MFO
3710,10,27,14,MFO
693.1,10,35,12,MJK
694.1,10,39,6,MJK
695.1,10,34,13,MJK
696.1,10,29,20,MJK
697.1,10,26,11,MJK
697.2,10,25,4,MJK
698.1,10,22,25,MJK
701.1,10,8,17,MJK
702.1,10,31,21,MJK
704.1,10,15,7,MJK
705.1,10,18,42,MJK
706.1,10,20,22,MFO
707.1,10,31,27,MFO
708.1,10,28,25,MFO
709.1,10,24,21,MFO
712.1,10,31,19,MFO
713.1,10,36,47,MFO
714.1,10,31,1,MFO
715.1,10,17,12,MFO
719.1,10,12,10,MFO
720.1,10,33,27,MFO
3801,10,20,25,MJK
3802,10,20,15,MJK
3803,10,20,36,MJK
3804,10,20,27,MJK
3805,10,20,33,MJK
3806,10,20,28,MJK
3807,10,20,21,MJK
3808,10,20,29,MJK
3809,10,20,18,MJK
3810,10,20,27,MJK
3811,10,33,33,MJK
4001,10,20,,
4002,10,20,46,MFO
4003,10,20,,
4004,10,20,,
4005,10,20,,
4006,10,20,49,MFO
4007,10,20,38,MFO
