Population,ID,Group,Block,Treatment,number,size,env,Ht.over.H0.8,Ht.over.H0.9,P,F1,N0,F2
3001,3001,control,3,0,0,0,,NA,NA,20,39.5,16,21
3002,3002,control,3,0,0,0,,NA,NA,20,39.5,16,19
3003,3003,control,3,0,0,0,,NA,NA,20,39.5,16,29
3004,3004,control,3,0,0,0,,NA,NA,20,39.5,16,16
3005,3005,control,3,0,0,0,,NA,NA,20,39.5,16,21
3006,3006,control,3,0,0,0,,NA,NA,20,39.5,16,18
3007,3007,control,3,0,0,0,,NA,NA,20,39.5,16,22
3008,3008,control,3,0,0,0,,NA,NA,20,39.5,16,15
3009,3009,control,3,0,0,0,,NA,NA,20,39.5,16,23
3010,3010,control,3,0,0,0,,NA,NA,20,39.5,16,23
3011,3011,control,3,0,0,0,,NA,NA,20,39.5,16,28
3012,3012,control,3,0,0,0,,NA,NA,20,39.5,16,7
3013,3013,control,3,0,0,0,,NA,NA,20,39.5,16,17
3014,3014,control,3,0,0,0,,NA,NA,20,39.5,16,17
3015,3015,control,3,0,0,0,,NA,NA,20,39.5,16,11
3016,3016,control,3,0,0,0,,NA,NA,20,39.5,16,24
3017,3017,control,3,0,0,0,,NA,NA,20,39.5,16,2
3018,3018,control,3,0,0,0,,NA,NA,20,39.5,16,9
3019,3019,control,3,0,0,0,,NA,NA,20,39.5,16,24
3020,3020,control,3,0,0,0,,NA,NA,20,39.5,16,15
3021,3021,control,3,0,0,0,,NA,NA,20,39.5,16,16
3022,3022,control,3,0,0,0,,NA,NA,20,39.5,16,31
3023,3023,control,3,0,0,0,,NA,NA,20,39.5,16,14
3024,3024,control,3,0,0,0,,NA,NA,20,39.5,16,18
3025,3025,control,3,0,0,0,,NA,NA,20,39.5,16,11
3026,3026,control,3,0,0,0,,NA,NA,20,39.5,16,13
3027,3027,control,3,0,0,0,,NA,NA,20,39.5,16,14
3028,3028,control,3,0,0,0,,NA,NA,20,39.5,16,18
3029,3029,control,3,0,0,0,,NA,NA,20,39.5,16,18
3030,3030,control,3,0,0,0,,NA,NA,20,39.5,16,17
481,481.1,low,3,1,1,20,fluctuating,0.884,0.869,29,29,16,48
484,484.1,low,3,1,1,20,fluctuating,0.881,0.871,22,17,16,30
485,485.1,high,3,1,1,20,fluctuating,0.781,0.771,20.5,40,16,24
485,485.2,high,3,1,1,20,fluctuating,0.781,0.771,20.5,40,16,39
487,487.1,high,3,1,1,20,fluctuating,0.853,0.829,18,16,16,39
489,489.1,low,3,1,1,20,fluctuating,0.883,0.872,38,30,16,34
492,492.1,high,3,1,1,20,fluctuating,0.826,0.804,19,26,16,21
493,493.1,high,3,1,1,20,fluctuating,0.85,0.835,30,19,16,11
501,501.1,low,3,1,1,20,fluctuating,0.897,0.883,31,36,16,30
501,501.2,low,3,1,1,20,fluctuating,0.897,0.883,31,36,16,27
502,502.1,low,3,1,1,20,fluctuating,0.865,0.841,18,17,16,32
508,508.1,high,3,1,1,20,fluctuating,0.846,0.83,26,29,16,13
3101,3101.1,mixed,3,1,1,20,fluctuating,NA,NA,20,10.88,16,50
3102,3102.1,mixed,3,1,1,20,fluctuating,NA,NA,20,10.88,16,29
3103,3103.1,mixed,3,1,1,20,fluctuating,NA,NA,20,10.88,16,23
3104,3104.1,mixed,3,1,1,20,fluctuating,NA,NA,20,10.88,16,41
3105,3105.1,mixed,3,1,1,20,fluctuating,NA,NA,20,10.88,16,39
512,512.1,low,3,2,1,20,stable,0.823,0.811,35,17,16,6
513,513.1,high,3,2,1,20,stable,0.739,0.73,20,54,16,20
513,513.2,high,3,2,1,20,stable,0.739,0.73,20,54,16,15
513,513.3,high,3,2,1,20,stable,0.739,0.73,20,54,16,34
515,515.1,high,3,2,1,20,stable,0.743,0.729,25,27,16,6
516,516.1,low,3,2,1,20,stable,0.839,0.809,14,19,16,35
522,522.1,low,3,2,1,20,stable,0.84,0.827,31,20,16,22
525,525.1,low,3,2,1,20,stable,0.822,0.809,30,16,16,14
528,528.1,low,3,2,1,20,stable,0.847,0.834,34,20,16,16
530,530.1,high,3,2,1,20,stable,0.749,0.732,22,29,16,7
531,531.1,low,3,2,1,20,stable,0.864,0.855,25,32,16,27
531,531.2,low,3,2,1,20,stable,0.864,0.855,25,32,16,18
532,532.1,low,3,2,1,20,stable,0.766,0.757,20.5,48,16,38
532,532.2,low,3,2,1,20,stable,0.766,0.757,20.5,48,16,20
